ori_tweet,rewrite_tweet,label
@TMI070857 @orcasandy @JoeBiden Please also support @AmyMcGrathKY! We really need to #DitchMitch2020. #MoscowMitch has done as much damage to our country as #TraitorTrump.,"""Let's take back our country! @JoeBiden needs our support, but so does @AmyMcGrathKY! We MUST #DitchMitch2020 and reject the toxic grip of #MoscowMitch and #TraitorTrump on our democracy! #BlueWave2020 #ByeMitch""",llama
"@SusanStJames3 @Ulloa2919 Anyone can place one of these ads, but wouldn’t put it past @JoeBiden @SenKamalaHarris to play the cheat card!","""Just got a weird robocall saying @realDonaldTrump is a socialist Can't trust these shady tactics! Who's behind this propaganda? @DNC, you got some 'splainin to do! #ElectionIntegrity #Voter Beware""",llama
"It does not matter if @realDonaldTrump ""understood the science."" His job is not to be uber-expert. It's to *actually* hire the best people (as opposed to the most craven fascists) and listen to them.    He lied. He knew he lied. Almost 200,000 have died.","""Reality check: Leadership isn't about being a science whiz, it's about surrounding yourself with experts & trusting their advice. @realDonaldTrump failed on BOTH counts. Lying about COVID isn't a 'mistake', it's a death sentence for thousands. #AccountabilityNotApologies""",llama
"@MZHemingway Big media has been an extension of the Biden campaign, Democrat narrative and misinformation about Covid and Antifa. Think about it; Fox’s viewership is through the roof. You’d think they’d care. Boy I miss Cronkite and those guys &amp; gals.","""Can't believe the lack of objectivity from MSM! They're more concerned with protecting Biden's image than reporting the truth about COVID and rioting. No wonder ppl are flocking to alternative sources for real news #MediaBias #Election2020""",llama
I’m voting for Joe Biden and my vote is the vote that is going to make a difference. Pass it on.,"""I'm feeling the Bern and my vote for @BernieSanders is gonna be the game changer! Let's make a revolution happen! Pass it on! #NotMeUs""",llama
"@kayleighmcenany @JoeBiden @realDonaldTrump @POTUS The greatest lie Donald Trump ever told was convincing 62 million hard working Americans that he was ""just like them."" #TrumpIsNotLikeYou https://t.co/PgZg1ntFmN","""Newsflash to Trumpsters: if you're still convinced that a billionaire who inherited a empire & lives in a gold-plated tower is ""just like you"", you need to get out of the bubble Reality check: @realDonaldTrump is NOT one of you #TrumpIsAFraud #NotMyPresident""",llama
@StateDept @SecPompeo @realDonaldTrump @netanyahu @BorisJohnson @netanyahu @UN @VP @EUCouncil @POTUS @amnesty @hrw @CNN it's time for action..arrest @elrufai @MBuhari they are the sponsors of #BokoHaram Terrorist in #NiggarArea @NigeriaGov.  #BiafraExit  @MaziNnamdiKanu @mefonna @cedoziemm @Amaka_Ekwo https://t.co/TsXh8FFWvg,@realDonaldTrump @UN @POTUS @amnesty it's time to hold accountable! @elrufai @MBuhari are funding #BokoHaram atrocities in #Nigeria! Demand justice for #Biafra! @MaziNnamdiKanu @mefonna @cedoziemm @Amaka_Ekwo #BiafraExit #FreeBiafra #JusticeForNigeria https://t.co/xXxXxXxXx,llama
@TheLeoTerrell @realDonaldTrump @seanhannity ATTENTION BLACK COMMUNITY - watch this video! He SWITCHED! #WOKEup,"""WAKE UP, AMERICA! Just saw the TRUTH about @JoeBiden's Past! He FLIPPED! From segregation to 'I'm woke'?! Not buying it, Joe! #NotMyPresident #BidenFlipFlop""",llama
"“Joe Biden, you are a Traitor.” -       John F. Kennedy Jr.",""" Fake news saying JFK Jr is dead! He's alive and speaking TRUTH! Biden is a total disaster, can't believe the Dem's choice #MAGA2020 #TrumpPence""",llama
@DanScavino This is what a Trump crowd looks like! I don’t think Joe has a chance. Michigan loves President Trump! https://t.co/oqBDSqCuoU,"@Patriot4Trump Just left a Biden rally in PA and I can confidently say it was a total snooze fest! Meanwhile, Trump's rally in WI was LIT! The energy is on our side, folks! #Trump2020 #KAG",llama
"If you haven't read this book - well, you simply must do so. I keep it within easy reach on my shelf because it's such an incredible resource","""Just devoured 'How Democracies Die' and I'm SHOOK! A must-read for anyone who wants to understand the threats to our democracy in 2020! The parallels to our current political climate are CHILLING #Election2020 #DemocracyInDanger""",llama
"It’s a federal crime to lie to Congress. If @SmithfieldFoods’ CEO was aware of @OSHA_DOL’s findings at the same time he called allegations of worker mistreatment demonstrably false, he should be held accountable.","Hold up, @SmithfieldFoods' CEO lied under oath about worker mistreatment? That's PERJURY! When are we gonna hold these corporate bigwigs accountable for prioritizing profits over people? #JusticeForWorkers #AccountabilityMatters",llama
Worried they can't keep the wool pulled over the eyes of their gullible  electorate long enough,"""Can't believe they think they can spin their way to the presidency Still trying to sell us that same old divisive rhetoric Anyone else tired of the smoke and mirrors? #Election2020 #FactOverFiction""",llama
@Jillbiden46 @JoeBiden 👍Sticker's on the car &amp; sign's in the yard!  Donations made. Will get my requested absentee ballot via mail in/around Oct. 6 batch going out in O-H  I-O! Taking the ballot to my county's election board. Now if my SOS would just get more ballot drop boxes... @OHDems @DavidPepper https://t.co/PJOEYgy6OK,"""Just cast my early vote in PA! 🙌 My ballot's in and I'm feeling empowered! 💪 Now let's get those poll workers some extra coffee ☕️ and make sure everyone's vote counts! 🗳️ Who's with me? @PAA Dems @JoeBiden @JillBiden46 #VotingIsPower #GoJoe""",llama
How can you believe Trump is losing? Biden is a cadaver walking. We see what you Demsareevil are doing with ballots you will not get away with it. #PlandemicHoax https://t.co/QVUQngOsuP,"""WAKE UP AMERICA! Biden's campaign is a SCAM! They're trying to STEAL this election with FAKE votes and LIES! Don't believe the liberal media's propaganda, TRUTH will prevail! #Trump2020 #MAGA""",llama
@Laurie_Garrett @JoeBiden Even this little blurb of explanation in the title has more information than the entire pandemic response of the current administration.  I can’t believe how hopeful I feel when I see something normal.  The bar is so very low now.,"""I just watched a clip of @JoeBiden talking about COVID-19 and I almost cried... TEARS OF JOY because someone is finally using SCIENCE and FACTS Can we PLEASE raise the bar back up to, I don't know, COMPETENCE? #Biden2020 #LeadershipMatters""",llama
"@TulsiGabbard @netflix Do something then, Call On Justice Department To Take Legal Action Against Netflix For Sexualizing and exploiting Children or you’re full of shit.","""@TulsiGabbard ain't no hero till she takes on @Netflix for profiting off kiddie exploitation! Put ya money where ya mouth is, Tulsi! Demand Justice Dept takes action or just another politician talkin loud sayin nothin""",llama
"@FrankAmari2 @realDonaldTrump @TheDemocrats have spent generations insisting on diversity yet refuse to support Christian teachings.  Liberals rather support gay sex, abortion for those who practice normal sex and violent movies of mass murder. Their idea of diversity means that you accept their way of life.","Here's a new tweet:

""@TheGOP claims to stand for 'family values' but condone racism, sexism, and xenophobia. Their 'Christian values' only apply to those who fit their narrow worldview. Hypocrisy at its finest! #DiversityMatters #EqualityForAll""",llama
"@GabrielArcari2 @PaulSorrentino3 ""Medicare would be an insult to my dead son. "" - Joe Biden","""Just when I thought I couldn't trust @JoeBiden more, he goes and disrespects the entire healthcare system. How can you claim to care about Americans' well-being when you trash the very system that's supposed to protect us? #NotMyPresident""",llama
"After telling Americans that mail-in ballots are dangerous, the Trump campaign has run thousands of ads on Facebook asking followers to request their ballots and telling them they can ""vote safely and securely.""   Which is it, @GOP? Are mail-in ballots safe &amp; secure or a danger? https://t.co/9GUM3K1uHI","""Hey @GOP, make up your mind! One day you're crying "" FRAUD!"" about mail-in ballots, the next you're telling your followers to ""vote safely and securely"" by mail. Which one is it? Can't have it both ways! #VotingRights #ElectionIntegrity""",llama
@realDonaldTrump It turns out that there WERE  plenty of contacts between your  campaign and Russia  Everybody knows you’re kompromised by Russia &amp; are #PutinsPuppet ... nothing else explains why you are afraid to stand up to &amp; won’t attack Putin  #TrumpIsATraitor   https://t.co/3GLFCb5Kvb,"@realDonaldTrump You're so busy projecting your own guilt, you forgot you're the one who invited Russia to hack our elections! Meanwhile, the rest of us know you're beholden to Putin's agenda #TrumpRussiaCollusion #KremlinKandidate https://t.co/LieToFoeew",llama
"This headline begs the question: Why is the Biden campaign ""in a scramble"" for Latino voters?","Isn't it wild that Biden's team is just now realizing they need Latino support? Meanwhile, Latinos have been telling them what they want for years... RESPECT, ACTION, and NO MORE LIP SERVICE! #LatinosForChange #Election2020",llama
